stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
103201,Ziprick at Terai (SB),SB_Ziprick_NS_Terai,49.888307,-119.417639,KEL,Kelowna Regional Transit System,Kelowna
103202,Springfield at Ziprick (WB),WB_Springfield_FS_Ziprick,49.880612,-119.418544,KEL,Kelowna Regional Transit System,Kelowna
103203,Valley at Cross (NB),NB_Valley_NS_Cross,49.919185,-119.434744,KEL,Kelowna Regional Transit System,Kelowna
103204,Ziprick at Terai (NB),NB_Ziprick_FS_Terai,49.888047,-119.417502,KEL,Kelowna Regional Transit System,Kelowna
103205,Springfield at Ziprick (EB),EB_Springfield_NS_Ziprick,49.880436,-119.418404,KEL,Kelowna Regional Transit System,Kelowna
103206,Snowsell at Cross (NB),NB_Snowsell_FS_Cross,49.924457,-119.441765,KEL,Kelowna Regional Transit System,Kelowna
103213,Enterprise 2660 block (EB),EB_2660_block_Enterprise,49.895331,-119.416505,KEL,Kelowna Regional Transit System,Kelowna
103214,Lakeshore at Lequime (NB),NB_Lakeshore_FS_Lequime,49.836515,-119.487208,KEL,Kelowna Regional Transit System,Kelowna
103215,Enterprise at 2660 Blk (WB),WB_Enterprise_AT_2660 Blk,49.895498,-119.416051,KEL,Kelowna Regional Transit System,Kelowna
103216,Ogden at Boucherie (WB),WB_Ogden_NS_Boucherie,49.852995,-119.555665,KEL,Kelowna Regional Transit System,West Kelowna
